sno,district,mandal,village,lat_gis,long_gis,RL_GIS,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
9,SIRCILLA,Illanthakunta,Kandikatkur,78.96,18.37,295,Post-monsoon 2021,7.42,1780,1139,0,450,330,2.32,117.97,21,155,8,96,111.83,700,2.55,C3S1,-5.00,P.S.
10,SIRCILLA,Illanthakunta,Repaka,78.98,18.26,347,Post-monsoon 2021,7.22,1128,722,0,380,150,0.94,103.88,13,105,8,128,34.03,460,2.13,C3S1,-1.60,P.S.
11,SIRCILLA,Konaraopet,Dharmaram,78.74,18.45,390,Post-monsoon 2021,7.44,774,495,0,240,40,2.09,87.57,10,64,6,48,29.17,240,1.80,C3S1,0.00,P.S.
12,SIRCILLA,Konaraopet,Kolanur,78.78,18.42,352,Post-monsoon 2021,7.55,1056,676,0,300,180,0.56,102.67,36,120,4,80,53.48,420,2.55,C3S1,-2.40,P.S.
13,SIRCILLA,Konaraopet,Kondapur,78.70,18.51,383,Post-monsoon 2021,7.33,957,612,0,390,90,1.19,42.88,14,104,5,64,43.76,340,2.45,C3S1,1.00,P.S.
14,SIRCILLA,Konaraopet,Mamidipalli,78.76,18.50,363,Post-monsoon 2021,7.52,682,436,0,210,60,0.86,8.25,6,40,2,40,29.17,220,1.17,C2S1,-0.20,P.S.
15,SIRCILLA,Konaraopet,Nizamabad,78.72,18.47,418,Post-monsoon 2021,7.38,727,465,0,270,50,0.75,52.54,10,44,2,64,34.03,300,1.10,C2S1,-0.60,P.S.
16,SIRCILLA,Konaraopet,Suddala,78.79,18.47,351,Post-monsoon 2021,7.49,1995,1277,0,420,320,1.07,213.20,29,252,6,72,87.52,540,4.72,C3S1,-2.40,P.S.
17,SIRCILLA,Mustabad,Avunoor,78.72,18.35,343,Post-monsoon 2021,7.31,1058,677,0,310,170,1.43,3.42,10,92,8,80,38.90,360,2.11,C3S1,-1.00,P.S.
18,SIRCILLA,Mustabad,Kondapur,78.68,18.34,355,Post-monsoon 2021,7.45,1372,878,0,370,230,0.86,18.92,11,95,5,80,77.79,520,1.81,C3S1,-3.00,P.S.
19,SIRCILLA,Sircilla,Sircilla(urban),78.78,18.36,329,Post-monsoon 2021,7.44,1050,672,0,430,130,0.94,52.34,23,75,2,64,87.52,520,1.43,C3S1,-1.80,P.S.
20,SIRCILLA,Thangalapally,Rallapet,78.82,18.28,386,Post-monsoon 2021,7.10,1031,660,0,380,100,0.84,13.49,16,108,14,48,43.76,300,2.71,C3S1,1.60,MR
21,SIRCILLA,Thangalapally,Ramchandrapaur,78.83,18.41,309,Post-monsoon 2021,7.41,834,534,0,320,60,1.10,22.95,15,45,4,72,38.90,340,1.06,C3S1,-0.40,P.S.
22,SIRCILLA,Veernapally,Garjanapalle,78.61,18.53,429,Post-monsoon 2021,7.40,1108,709,0,390,120,0.92,84.96,17,100,12,88,48.62,420,2.12,C3S1,-0.60,P.S.
23,SIRCILLA,Veernapally,Veernapally,78.61,18.47,483,Post-monsoon 2021,7.26,1001,641,0,300,180,1.16,70.46,21,95,1,80,58.34,440,1.97,C3S1,-2.80,P.S.
24,SIRCILLA,Vemulawada,Chekkapalli,78.86,18.53,354,Post-monsoon 2021,7.16,1018,652,0,340,180,0.75,48.72,15,95,21,56,68.07,420,2.02,C3S1,-1.60,P.S.
25,SIRCILLA,Vemulawada,Vemulawada(rural),78.86,18.49,317,Post-monsoon 2021,7.30,1468,940,0,270,300,0.53,94.62,27,110,5,112,68.07,560,2.02,C3S1,-5.80,P.S.
26,SIRCILLA,Yellareddipet,Racherla Boppaspur,78.62,18.38,389,Post-monsoon 2021,7.15,845,541,0,280,130,0.75,58.38,21,40,8,128,29.17,440,0.83,C3S1,-3.20,P.S.
27,SIRCILLA,Yellareddipet,Rajannapet,78.64,18.40,383,Post-monsoon 2021,7.14,1483,949,0,490,170,2.97,242.99,18,90,15,72,136.14,740,1.44,C3S1,-5.00,P.S.
1,SURYAPET,Arvapally,Jajireddigudem,79.50,17.33,200,Post-monsoon 2021,7.40,1236,791,0,340,150,0.55,23,28,114,5,96,29,360,2.60,C3S1,-0.40,P.S.
2,SURYAPET,Arvapally,Kodur,79.62,17.32,178,Post-monsoon 2021,7.71,840,538,0,330,20,0.94,55,22,55,2,104,10,300,1.38,C3S1,0.60,P.S.
3,SURYAPET,Arvapally,Nagaram,79.50,17.39,212,Post-monsoon 2021,7.86,515,330,0,240,20,0.58,0.1,16,23,1,64,19,240,0.65,C2S1,0.00,P.S.
4,SURYAPET,Atmakur(s),Aipur,79.73,17.28,171,Post-monsoon 2021,7.25,1013,648,0,360,90,1.19,23,22,103,3,64,39,320,2.50,C3S1,0.80,P.S.
5,SURYAPET,Chilkur,Bethevole,79.81,16.97,126,Post-monsoon 2021,7.72,1618,1036,0,140,350,0.69,25,48,195,1,104,10,300,4.90,C3S1,-3.20,P.S.
6,SURYAPET,Chilkur,Chilkuru,79.89,16.95,130,Post-monsoon 2021,7.29,741,474,0,270,80,0.57,7,20,69,2,56,29,260,1.86,C2S1,0.20,P.S.
7,SURYAPET,Chinthalapalem ( mallareddygudem),Dondapadu,80.01,16.82,,Post-monsoon 2021,7.22,1320,845,0,260,170,0.58,50,71,114,2,136,10,380,2.54,C3S1,-2.40,P.S.
8,SURYAPET,Chinthalapalem ( mallareddygudem),Gudimalkapur,79.98,16.80,90,Post-monsoon 2021,7.63,1359,870,0,100,220,0.84,283,15,88,6,120,39,460,1.78,C3S1,-7.20,P.S.
9,SURYAPET,Chinthalapalem ( mallareddygudem),Mallareddigudem,79.98,16.77,85,Post-monsoon 2021,7.04,1170,749,0,240,160,0.87,105,19,110,2,104,19,340,2.59,C3S1,-2.00,P.S.
10,SURYAPET,Chivemla,B. Chandupatla,79.72,17.14,169,Post-monsoon 2021,7.22,1030,659,0,410,50,1.50,16,13,66,5,56,58,380,1.47,C3S1,0.60,P.S.
11,SURYAPET,Chivemla,Gumpula Tirumalagiri,79.72,17.11,162,Post-monsoon 2021,7.33,907,580,0,270,80,0.61,65,11,44,2,64,49,360,1.01,C3S1,-1.80,P.S.
12,SURYAPET,Gardepalli,Gardepalli,79.72,16.88,120,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,SURYAPET,Kodad,Thogarrai,79.93,16.94,98,Post-monsoon 2021,7.30,749,479,0,240,80,0.53,20,23,63,4,72,19,260,1.70,C2S1,-0.40,P.S.
14,SURYAPET,Mattampalle,Mattampalli,79.85,16.79,86,Post-monsoon 2021,7.43,1944,1244,0,310,340,0.53,1,150,117,34,216,29,660,1.98,C3S1,-7.00,P.S.
15,SURYAPET,Mattampalle,Raghunadhapalem,79.89,16.75,82,Post-monsoon 2021,6.98,778,498,0,240,40,0.43,108,16,29,1,40,58,340,0.68,C3S1,-2.00,P.S.
16,SURYAPET,Mellacheruvu,Mellacheruvu,79.90,16.84,113,Post-monsoon 2021,7.67,972,622,0,270,90,0.52,35,63,69,3,104,19,340,1.63,C3S1,-1.40,P.S.
17,SURYAPET,Mothey,Kudali,79.80,17.27,143,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,SURYAPET,Mothey,Mamillaguda,79.85,17.18,141,Post-monsoon 2021,7.61,602,385,0,260,30,0.67,22,11,35,3,56,29,260,0.94,C2S1,0.00,P.S.
19,SURYAPET,Mothey,Urlaguda,79.85,17.25,136,Post-monsoon 2021,7.70,3882,2484,0,350,930,1.03,13,154,439,143,280,24,800,6.74,C4S2,-9.00,P.S.
20,SURYAPET,Munagala,Akupamula,79.87,17.03,134,Post-monsoon 2021,7.49,910,582,0,260,170,0.60,4,34,93,6,88,24,320,2.26,C3S1,-1.20,P.S.
21,SURYAPET,Nadigudem,Vaila Singaram,79.93,17.08,136,Post-monsoon 2021,7.47,1391,890,0,130,240,0.93,8,280,172,7,104,29,380,3.84,C3S1,-5.00,P.S.
22,SURYAPET,Nereducharla,Dirsencherla,79.67,16.85,88,Post-monsoon 2021,7.80,635,406,0,240,70,0.74,8,16,56,2,56,24,240,1.57,C2S1,0.00,P.S.
23,SURYAPET,Nuthankal,Dirsenapally,79.73,17.36,175,Post-monsoon 2021,8.08,1345,861,0,720,30,4.29,3,6,314,6,16,15,100,13.65,C3S1,12.40,U.S.
24,SURYAPET,Nuthankal,Maddirala,79.70,17.40,188,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,SURYAPET,Nuthankal,Nuthankal,79.69,17.33,171,Post-monsoon 2021,7.55,1130,723,0,400,90,1.13,2,25,45,2,104,49,460,0.91,C3S1,-1.20,P.S.
26,SURYAPET,Palakeedu,Janpahad,79.71,16.74,62,Post-monsoon 2021,7.30,1128,722,0,280,180,0.48,2,42,107,2,88,34,360,2.45,C3S1,-1.60,P.S.
27,SURYAPET,Palakeedu,Palakeedu,79.70,16.80,96,Post-monsoon 2021,7.57,523,335,0,180,60,0.34,4,17,51,2,48,15,180,1.65,C2S1,0.00,P.S.
28,SURYAPET,Suryapet,Pillalamarry,79.58,17.15,168,Post-monsoon 2021,7.39,2580,1651,0,380,670,0.77,12,50,230,57,168,107,860,3.41,C4S1,-9.60,P.S.
29,SURYAPET,Suryapet,Yerkaram,79.58,17.23,200,Post-monsoon 2021,7.57,920,589,0,420,20,0.96,39,8,91,11.0,64,29,280,2.36,C3S1,2.80,U.S.
30,SURYAPET,Thungathurthi,Annaram,79.61,17.38,196,Post-monsoon 2021,7.66,692,443,0,310,30,0.89,8,9,24,4,88,24,320,0.58,C2S1,-0.20,P.S.
31,SURYAPET,Thungathurthi,Ravulapally,79.63,17.47,214,Post-monsoon 2021,7.33,1516,970,0,490,190,1.27,65,27,151,12,104,58,500,2.94,C3S1,-0.20,P.S.
32,SURYAPET,Thungathurthi,Thungathurthi,79.59,17.40,199,Post-monsoon 2021,7.93,1073,687,0,230,240,0.28,1,5,145,8,8,15,80,7.05,C3S1,3.00,U.S.
33,SURYAPET,Tirumalagiri,Mamidala,79.54,17.51,222,Post-monsoon 2021,8.01,1404,899,0,690,60,2.36,11,9,250,2,32,49,280,6.50,C3S1,8.20,U.S.
1,VIKARABAD,Bantwaram,Bantwaram,77.70,17.45,609,Post-monsoon 2021,7.40,773,495,0,270,50,0.23,15,11,22,1,8,73,320,0.53,C3S1,-1.00,P.S.
2,VIKARABAD,Basheerabad,Basheerabad,77.44,17.21,423,Post-monsoon 2021,7.10,1047,670,0,90,290,0.19,3,16,142,9,24,34,200,4.37,C3S1,-2.20,P.S.
3,VIKARABAD,Bomraspet,Bomraspet,77.72,17.16,473,Post-monsoon 2021,7.20,822,526,0,280,80,1.78,11,16,114,1,48,15,180,3.69,C3S1,2.00,MR
4,VIKARABAD,Bomraspet,Madnapally,77.77,17.22,502,Post-monsoon 2021,7.45,785,502,0,280,60,0.66,4,15,48,2,56,34,280,1.25,C3S1,0.001,P.S.
5,VIKARABAD,Dharoor,Antharam,77.82,17.24,,Post-monsoon 2021,7.07,622,398,0,250,20,0.34,44,5,18,3,64,29,280,0.47,C2S1,-0.60,P.S.
6,VIKARABAD,Dharoor,Dharoor,77.77,17.30,520,Post-monsoon 2021,7.00,1249,799,0,250,240,0.75,8,15,78,4,72,63,440,1.62,C3S1,-3.80,P.S.
7,VIKARABAD,Doma,Doma,77.84,17.09,560,Post-monsoon 2021,7.15,990,634,0,150,180,1.13,51,17,68,2.4,80,29,320,1.65,C3S1,-3.40,P.S.
8,VIKARABAD,Doulathabad,Doulathabad,77.54,17.00,557,Post-monsoon 2021,6.95,1063,680,0,150,220,0.89,3,22,133,2,56,15,200,4.09,C3S1,-1.00,P.S.
9,VIKARABAD,Kodangal,Kodangal,77.60,17.10,569,Post-monsoon 2021,7.21,914,585,0,310,70,0.91,36,15,54,2,72,39,340,1.27,C3S1,-0.60,P.S.
10,VIKARABAD,Kodangal,Rudraram (D),77.51,17.13,573,Post-monsoon 2021,7.40,1158,741,0,280,140,0.23,68,29,51,4,112,44,460,1.03,C3S1,-3.60,P.S.
11,VIKARABAD,Kodangal,Rudraram (S),77.51,17.13,573,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,VIKARABAD,Kulkacherla,Kulkacherla,77.88,17.02,572,Post-monsoon 2021,7.20,486,311,0,180,40,0.31,2,8,26,10,32,24,180,0.84,C2S1,0.001,P.S.
13,VIKARABAD,Kulkacherla,Puttaphad ,77.86,16.96,,Post-monsoon 2021,7.18,1382,884,0,310,190,0.51,32,16,51,12,104,58,500,0.99,C3S1,-3.80,P.S.
14,VIKARABAD,Marpalli,Marpalli,77.77,17.53,620,Post-monsoon 2021,7.08,706,452,0,240,40,0.38,22,8,58,1,40,24,200,1.77,C2S1,0.80,P.S.
15,VIKARABAD,Marpalli,Narsapur,77.83,17.57,,Post-monsoon 2021,7.21,760,486,0,220,80,0.52,2,25,85,5,48,15,180,2.75,C3S1,0.80,P.S.
16,VIKARABAD,Mominpet,Durgam Cheruvu,77.86,17.45,,Post-monsoon 2021,7.34,1412,904,0,240,190,0.41,165,18,92,10,80,63,460,1.87,C3S1,-4.40,P.S.
17,VIKARABAD,Mominpet,Mominpet,77.89,17.52,585,Post-monsoon 2021,7.19,892,571,0,230,110,0.22,1,12,37,1,40,53,320,0.90,C3S1,-1.80,P.S.
18,VIKARABAD,Nawabpet,Nawabpet,77.97,17.43,638,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,VIKARABAD,Nawabpet,Vattinenipally(s),77.98,17.45,,Post-monsoon 2021,6.97,881,564,0,260,80,0.50,47,12,40,0.2,48,53,340,0.94,C3S1,-1.60,P.S.
20,VIKARABAD,Parigi,Parigi,77.88,17.18,569,Post-monsoon 2021,7.09,907,580,0,330,60,0.47,40,12,30,2,72,53,400,0.65,C3S1,-1.40,P.S.
21,VIKARABAD,Peddamul,Kandanelli,77.65,17.29,,Post-monsoon 2021,7.26,714,457,0,230,70,0.74,32,9,29,6,64,34,300,0.73,C2S1,-1.40,P.S.
22,VIKARABAD,Peddamul,Peddamul,77.66,17.33,,Post-monsoon 2021,7.04,719,460,0,150,110,0.66,0.3,17,39,2,56,24,240,1.09,C2S1,-1.80,P.S.
23,VIKARABAD,Peddamul,Thattepalli,77.66,17.33,484,Post-monsoon 2021,7.14,440,282,0,200,30,0.18,2,2,12,3,40,29,220,0.35,C2S1,-0.40,P.S.
24,VIKARABAD,Pudur,Chengamala,78.03,17.26,,Post-monsoon 2021,6.96,884,566,0,250,110,0.23,18,11,21,8,64,53,380,0.47,C3S1,-2.60,P.S.
25,VIKARABAD,Pudur,Pedda Umintyal,77.98,17.23,648,Post-monsoon 2021,6.84,603,386,0,280,20,0.36,10,7,18,7,64,29,280,0.47,C2S1,0.00,P.S.
26,VIKARABAD,Pudur,Pudur,77.96,17.26,674,Post-monsoon 2021,7.14,171,109,0,40,40,0.08,2,8,11,2,16,10,80,0.53,C1S1,-0.80,P.S.
27,VIKARABAD,Tandur,Kota Basupally,77.50,17.33,455,Post-monsoon 2021,7.11,734,470,0,300,40,2.99,1,15,95,1,40,19,180,3.08,C2S1,2.40,MR
28,VIKARABAD,Tandur,Tandur,77.59,17.25,456,Post-monsoon 2021,6.99,1283,821,0,320,210,1.33,3,16,104,2,64,63,420,2.21,C3S1,-2.00,P.S.
29,VIKARABAD,Vikarabad ,Maildevarpally,0.00,0.00,,Post-monsoon 2021,7.12,924,591,0,260,110,0.28,25,22,34,7,88,39,380,0.76,C3S1,-2.40,P.S.
30,VIKARABAD,Vikarabad ,Vikarabad(S),77.91,17.32,635,Post-monsoon 2021,7.37,325,208,0,120,40,0.21,1,4,20,0.3,16,24,140,0.74,C2S1,-0.40,P.S.
31,VIKARABAD,Yalal,Yalal,77.64,17.20,456,Post-monsoon 2021,6.48,432,276,0,100,50,0.80,28,9,16,8,48,10,160,0.55,C2S1,-1.20,P.S.
32,VIKARABAD,Yalal,Bagayapalli,77.69,17.22,,Post-monsoon 2021,7.30,761,487,0,220,60,1.15,88,7,41,1,64,34,300,1.03,C3S1,-1.60,P.S.
33,VIKARABAD,Yalal,Yenkapally,77.54,17.20,,Post-monsoon 2021,7.49,1812,1160,0,570,190,1.71,43,22,310,3.5,40,34,240,8.70,C3S2,6.60,U.S.
1,WANAPARTHY,Amarchintha,Singampet,77.78,16.35,317,Post-monsoon 2021,8.01,1127,721,0,340,90,0.76,47,35,88,1,72,39,340,2.08,C3S1,0.00,P.S.
2,WANAPARTHY,Atmakuru,Atmakuru,77.81,16.34,316,Post-monsoon 2021,8.03,862,552,0,200,110,0.64,48,36,79,1,40,39,260,2.13,C3S1,-1.20,P.S.
3,WANAPARTHY,Ghanpur,Ghanapur,78.05,16.56,414,Post-monsoon 2021,8.27,1799,1151,0,260,300,0.47,31,195,282,1,64,34,300,7.08,C3S1,-0.80,P.S.
4,WANAPARTHY,Ghanpur,Kamaluddinpur,78.02,16.61,389,Post-monsoon 2021,8.03,894,572,0,200,120,0.62,51,36,78,1,64,29,280,2.03,C3S1,-1.60,P.S.
5,WANAPARTHY,Gopalpet,Gopalpet,78.13,16.38,433,Post-monsoon 2021,7.42,2930,1875,0,240,610,0.48,15,327,395,0,80,97,600,7.01,C4S1,-7.20,P.S.
6,WANAPARTHY,Gopalpet,Yedutla,78.18,16.36,425,Post-monsoon 2021,7.35,869,556,0,340,70,0.69,1,20,84,1,64,29,280,2.18,C3S1,1.20,P.S.
7,WANAPARTHY,Kothakota,Kanaipally,77.96,16.39,327,Post-monsoon 2021,7.89,898,575,0,230,110,0.63,47,35,76,1,96,15,300,1.91,C3S1,-1.40,P.S.
8,WANAPARTHY,Kothakota,Madnapur,77.87,16.38,310,Post-monsoon 2021,7.67,964,617,0,250,110,0.65,46,36,75,1,40,53,320,1.82,C3S1,-1.40,P.S.
9,WANAPARTHY,Pangal,Pangal,78.10,16.25,354,Post-monsoon 2021,7.46,2972,1902,0,200,700,0.43,13,332,478,6,80,73,500,9.30,C4S1,-6.00,P.S.
10,WANAPARTHY,Pebbair,Ayyavaripalli,78.02,16.12,276,Post-monsoon 2021,7.10,3075,1968,0,300,640,0.52,14,313,395,4,80,117,680,6.59,C4S1,-7.60,P.S.
11,WANAPARTHY,Wanaparthy,Peddagudem,78.00,16.31,,Post-monsoon 2021,7.17,2278,1458,0,160,500,0.86,13,300,356,1,96,44,420,7.55,C4S1,-5.20,P.S.
12,WANAPARTHY,Peddamandadi,Peddamandadi,78.03,16.43,374,Post-monsoon 2021,7.25,932,596,0,200,100,0.79,45,100,75,1,40,53,320,1.82,C3S1,-2.40,P.S.
13,WANAPARTHY,Weepangandla,Sanginonipally,78.16,16.14,315,Post-monsoon 2021,7.23,869,556,0,190,80,0.79,44,100,70,1,40,49,300,1.76,C3S1,-2.20,P.S.
1,WARANGAL (R) ,Atmakur,Atmakur,79.74,18.07,236,Post-monsoon 2021,8.46,1592,1019,50,360,190,1.64,32.81,47,159,10,64,63.21,420,3.37,C3S1,-0.20,P.S.
2,WARANGAL (R) ,Chennaraopet,Chennaraopet,79.87,17.88,231,Post-monsoon 2021,8.09,2196,1405,0,540,310,1.69,78.31,61,204,3,48,141.00,700,3.35,C3S1,-3.20,P.S.
3,WARANGAL (R) ,Damera,Damera,79.64,18.06,257,Post-monsoon 2021,8.42,1052,673,40,200,140,0.93,85.96,37,98,5,56,48.62,340,2.31,C3S1,-2.00,P.S.
4,WARANGAL (R) ,Duggondi,Duggondi,79.81,18.02,237,Post-monsoon 2021,8.16,1105,707,0,280,160,0.38,41.07,34,101,4,40,63.21,360,2.31,C3S1,-1.60,P.S.
5,WARANGAL (R) ,Geesgonda,Geesgonda,79.70,17.96,256,Post-monsoon 2021,7.94,1049,671,0,310,110,1.99,57.78,25,86,5,48,58.34,360,1.97,C3S1,-1.00,P.S.
6,WARANGAL (R) ,Geesgonda,Vanchanagiri,79.69,17.95,266,Post-monsoon 2021,7.86,1997,1278,0,520,280,1.13,33.82,64,161,8,72,121.55,680,2.68,C3S1,-3.20,P.S.
7,WARANGAL (R) ,Khanapur,Khanapur,79.93,17.90,232,Post-monsoon 2021,7.79,991,634,0,220,90,1.37,54.56,107,87,3,40,53.48,320,2.11,C3S1,-2.00,P.S.
8,WARANGAL (R) ,Nallabelli,Narakkapet,79.89,18.01,244,Post-monsoon 2021,7.64,1554,995,0,390,220,2.98,48.12,46,144,4,48,92.38,500,2.80,C3S1,-2.20,P.S.
9,WARANGAL (R) ,Narasampet,Narasampet,79.89,17.92,235,Post-monsoon 2021,7.51,265,170,0,90,30,0.30,1.61,6,9,1,16,19.45,120,0.36,C2S1,-0.60,P.S.
10,WARANGAL (R) ,Nekkonda,Ameenpet,79.80,17.81,215,Post-monsoon 2021,8.28,1523,975,0,440,180,2.06,59.19,43,151,4,48,87.52,480,3.00,C3S1,-0.80,P.S.
11,WARANGAL (R) ,Nekkonda,Nagaram,79.89,17.76,211,Post-monsoon 2021,8.11,2079,1331,0,510,310,0.78,41.87,61,177,9,64,126.41,680,2.95,C3S1,-3.40,P.S.
12,WARANGAL (R) ,Parkal,Cherlapally,79.61,18.23,201,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,WARANGAL (R) ,Parkal,Nadikuda,79.64,18.19,217,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,WARANGAL (R) ,Parkal,Parkal,79.64,18.20,216,Post-monsoon 2021,8.27,407,260,0,120,40,0.98,9.86,12,37,1,24,14.59,120,1.47,C2S1,0.00,P.S.
15,WARANGAL (R) ,Parvathagiri,Annaram shariff,79.72,17.68,210,Post-monsoon 2021,7.96,580,371,0,180,50,0.79,32.01,16,43,2,16,38.90,200,1.32,C2S1,-0.40,P.S.
16,WARANGAL (R) ,Parvathagiri,Parvathagiri,79.72,17.74,230,Post-monsoon 2021,8.19,1364,873,0,370,170,0.67,59.39,39,108,4,56,82.65,480,2.14,C3S1,-2.20,P.S.
17,WARANGAL (R) ,Rayaparthy,Kondur,79.61,17.71,231,Post-monsoon 2021,8.10,1908,1221,0,460,280,0.72,54.76,58,151,5,72,116.69,660,2.56,C3S1,-4.00,P.S.
18,WARANGAL (R) ,Rayaparthy,Rayaparthy,79.55,17.69,250,Post-monsoon 2021,8.17,1006,644,0,260,120,0.54,61.20,32,78,5,40,58.34,340,1.84,C3S1,-1.60,P.S.
19,WARANGAL (R) ,Sangem,Sangem,79.71,17.88,250,Post-monsoon 2021,8.21,1236,791,0,290,160,0.89,86.97,36,113,4,48,63.21,380,2.52,C3S1,-1.80,P.S.
20,WARANGAL (R) ,Sangem,Theegarajupally,79.71,17.83,258,Post-monsoon 2021,7.67,459,294,0,160,50,0.56,2.42,8,47,2,16,24.31,140,1.73,C2S1,0.40,P.S.
21,WARANGAL (R) ,Shayampet,Pathipaka(Abendent),79.76,18.12,217,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,WARANGAL (R) ,Wardhannapet,Wardhannapet,79.58,17.77,245,Post-monsoon 2021,7.89,1189,761,0,310,130,0.81,90.39,33,107,4,48,63.21,380,2.39,C3S1,-1.40,P.S.
1,WARANGAL (U),Bheemadevarapallly,Gatla Narsingapur,79.33,18.09,320,Post-monsoon 2021,8.17,1476,945,0,320,200,1.28,57.98,49,144,7,64,58.34,400,3.13,C3S1,-1.60,P.S.
2,WARANGAL (U),Bheemadevarapallly,Kothapally,79.39,18.08,296,Post-monsoon 2021,8.15,1125,720,0,250,150,0.62,69.86,38,113,5,56,43.76,320,2.75,C3S1,-1.40,P.S.
3,WARANGAL (U),Bheemadevarapallly,Vangara,79.35,18.13,291,Post-monsoon 2021,8.19,620,397,0,140,70,0.82,54.96,21,59,2,40,19.45,180,1.91,C2S1,-0.80,P.S.
4,WARANGAL (U),Dharmasagar,Dharmapuri,79.46,17.89,293,Post-monsoon 2021,8.20,978,626,0,160,120,1.85,103.88,34,90,4,48,34.03,260,2.43,C3S1,-2.00,P.S.
5,WARANGAL (U),Dharmasagar,Narayanagiri,79.38,17.99,318,Post-monsoon 2021,8.22,1011,647,0,180,150,0.60,90.39,35,96,5,56,38.90,300,2.41,C3S1,-2.40,P.S.
6,WARANGAL (U),Dharmasagar,Velair,79.34,18.01,341,Post-monsoon 2021,8.31,743,476,30,180,80,1.91,1.41,24,72,3,32,29.17,200,2.21,C2S1,0.20,P.S.
7,WARANGAL (U),Elkathurthy,Elkathurthy,79.44,18.09,259,Post-monsoon 2021,8.49,1099,703,50,240,140,7.01,1.21,37,106,5,56,43.76,320,2.58,C3S1,-0.60,P.S.
8,WARANGAL (U),Hanamkonda,Hanumkonda,79.56,18.00,261,Post-monsoon 2021,8.11,588,376,0,130,60,1.56,32.81,22,51,2,40,14.59,160,1.75,C2S1,-0.60,P.S.
9,WARANGAL (U),Hanamkonda,Mamnoor,79.60,17.91,272,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,WARANGAL (U),Hasanparthi,Seethampet,79.52,18.08,244,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,WARANGAL (U),Invaolu,Panthini,79.61,17.85,247,Post-monsoon 2021,8.53,1048,671,50,220,150,3.51,16.11,39,106,5,56,43.76,320,2.58,C3S1,-1.00,P.S.
12,WARANGAL (U),Invaolu,Punnelu,79.59,17.87,264,Post-monsoon 2021,8.33,502,321,30,160,50,0.85,2.21,16,47,2,32,24.31,180,1.52,C2S1,0.20,P.S.
13,WARANGAL (U),Kamalapur,Kamalapur,79.52,18.18,233,Post-monsoon 2021,8.18,1032,660,0,230,150,0.2,42.68,35,100,5,56,38.90,300,2.51,C3S1,-1.40,P.S.
14,WARANGAL (U),Kamalapur,Shanigaram,79.60,18.18,218,Post-monsoon 2021,8.38,2047,1310,40,410,320,0.68,7.45,66,221,8,80,77.79,520,4.21,C3S1,-1.40,P.S.
15,WARANGAL (U),warangal,Charbowli,79.61,17.98,263,Post-monsoon 2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,YADADRI,Gundala,Ambala,79.25,17.49,283,Post-monsoon 2021,7.60,1215,778,0,480,40,0.84,56,32,65,1,64,78,480,1.29,C3S1,0.003,P.S.
2,YADADRI,Gundala,Peddapadishala,79.34,17.47,243,Post-monsoon 2021,7.66,1002,641,0,230,90,0.59,170,52,26,3,120,44,480,0.51,C3S1,-5.00,P.S.
3,YADADRI,Gundala,Velmajala,79.21,17.57,302,Post-monsoon 2021,7.68,403,258,0,160,20,0.67,19,24,15,2,64,10,200,0.45,C2S1,-0.80,P.S.
4,YADADRI,Alair,Kolanpaka,79.02,17.70,383,Post-monsoon 2021,8.17,680,435,0,250,30,0.75,27,34,94,8,40,10,140,3.46,C2S1,2.20,MR
5,YADADRI,Alair,Sarajipet,79.12,17.62,340,Post-monsoon 2021,7.73,434,278,0,110,30,0.87,38,32,27,2,56,5,160,0.93,C2S1,-1.00,P.S.
6,YADADRI,Atmakur,Chada,79.07,17.48,314,Post-monsoon 2021,7.38,501,321,0,100,40,1.29,100,38,16,2,88,5,240,0.44,C2S1,-2.80,P.S.
