sno,district,mandal,village,temp_id,long_gis,lat_gis,gwl,season,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1
1,ADILABAD,Adilabad,Adilabad,1001,78.5247,19.6683,14.15,Pre-monsoon 2020,7.8,1671,1069.44,0,470,230,0.51,3.422409091,31.5,154,13,72,77.792,499.8684211,2.994780759,C3S1,-0.597368421,P.S.
2,ADILABAD,Bazarhatnur,Bazarhatnur,1002,78.350833,19.458888,9.35,Pre-monsoon 2020,7.95,545,348.8,0,180,80,1.08,4.227681818,13,94,12,16,14.586,99.97532895,4.087460763,C2S1,1.600493421,MR
3,ADILABAD,Gudihatnoor,Gudihatnoor,1007,78.512222,19.525555,17.5,Pre-monsoon 2020,8.12,738,472.32,0,220,30,0.45,28.38586364,9.5,22,1,40,38.896,259.9342105,0.593284666,C2S1,-0.798684211,P.S.
4,ADILABAD,Jainath,Jainath,1009,78.64,19.730555,5.3,Pre-monsoon 2020,8.05,1154,738.56,0,300,100,0.69,140.9227273,14.75,81,3,56,68.068,419.8848684,1.718668316,C3S1,-2.397697368,P.S.
5,ADILABAD,Narnoor,Narnoor,1010,78.852654,19.495665,4.5,Pre-monsoon 2020,7.17,1042,666.88,0,370,30,0.72,163.0677273,10.25,39,4,96,63.206,499.8930921,0.758399789,C3S1,-2.597861842,P.S.
6,ADILABAD,Neradigonda,Neradigonda,1011,78.41216,19.29375,9.9,Pre-monsoon 2020,8.09,1063,680.32,0,300,100,0.56,62.40863636,14.5,65,14,64,53.482,379.9095395,1.44992461,C3S1,-1.598190789,P.S.
7,ADILABAD,Talamadugu,Talamadugu,1013,78.3969,19.6334,8.1,Pre-monsoon 2020,7.94,788,504.32,0,310,40,0.44,42.0755,10.5,59,4,40,43.758,279.9259868,1.53321326,C3S1,0.601480263,P.S.
8,ADILABAD,Tamsi,Tamsi,1014,78.4268,19.6811,6.3,Pre-monsoon 2020,8.32,811,519.04,20,200,110,0.73,11.47513636,16,144,1,16,14.586,99.97532895,6.261642019,C3S1,2.400493421,MR
9,ADILABAD,Utnoor,Utnoor,1015,78.7685,19.3789,6.55,Pre-monsoon 2020,7.99,422,270.08,0,160,30,0.45,13.48831818,8.25,41,2,24,19.448,139.9671053,1.50675635,C2S1,0.400657895,P.S.
10,BHADRADRI,Annapureddypalli,Annapureddypalli,1021,80.826104,17.354519,17.3,Pre-monsoon 2020,8.28,250,160,0,90,10,0.147,5.3148,6,6.4,1.77,24,9.724,99.98355263,0.278283756,C2S1,-0.199671053,P.S.
